Module: SecretStorage; Exists: True
Module: build; Exists: True
Module: cachecontrol; Exists: True
Module: cffi; Exists: True
Module: charset-normalizer; Exists: True
Module: cleo; Exists: True
Module: crashtest; Exists: True
Module: cryptography; Exists: True
Module: distlib; Exists: True
Module: dulwich; Exists: True
Module: fastjsonschema; Exists: True
Module: filelock; Exists: True
Module: idna; Exists: True
Module: importlib-metadata; Exists: True
Module: installer; Exists: True
Module: jaraco.classes; Exists: True
Module: jeepney; Exists: True
Module: keyring; Exists: True
Module: more-itertools; Exists: True
Module: msgpack; Exists: True
Module: packaging; Exists: True
Module: pexpect; Exists: True
Module: pkginfo; Exists: True
Module: platformdirs; Exists: True
Module: poetry; Exists: True
Module: poetry-core; Exists: True
Module: poetry-plugin-export; Exists: True
Module: ptyprocess; Exists: True
Module: pycparser; Exists: True
Module: pyproject-hooks; Exists: True
Module: rapidfuzz; Exists: True
Module: requests; Exists: True
Module: requests-toolbelt; Exists: True
Module: shellingham; Exists: True
Module: tomli; Exists: True
Module: tomlkit; Exists: True
Module: trove-classifiers; Exists: True
Module: urllib3; Exists: True
Module: virtualenv; Exists: True
Module: zipp; Exists: True
Module: aiohappyeyeballs; Exists: True
Module: aiohttp; Exists: True
Module: aiohttp-cors; Exists: True
Module: aiosignal; Exists: True
Module: alembic; Exists: True
Module: annotated-types; Exists: True
Module: anyio; Exists: True
Module: apache-airflow; Exists: True
Module: apache-airflow-providers-apache-kafka; Exists: True
Module: apache-airflow-providers-common-compat; Exists: True
Module: apache-airflow-providers-common-io; Exists: True
Module: apache-airflow-providers-common-sql; Exists: True
Module: apache-airflow-providers-fab; Exists: True
Module: apache-airflow-providers-ftp; Exists: True
Module: apache-airflow-providers-http; Exists: True
Module: apache-airflow-providers-imap; Exists: True
Module: apache-airflow-providers-microsoft-mssql; Exists: True
Module: apache-airflow-providers-smtp; Exists: True
Module: apache-airflow-providers-sqlite; Exists: True
Module: apispec; Exists: True
Module: argcomplete; Exists: True
Module: asgiref; Exists: True
Module: async-timeout; Exists: True
Module: attrs; Exists: True
Module: babel; Exists: True
Module: blinker; Exists: True
Module: cachelib; Exists: True
Module: cachetools; Exists: True
Module: certifi; Exists: True
Module: cffi; Exists: True
Module: charset-normalizer; Exists: True
Module: click; Exists: True
Module: clickclick; Exists: True
Module: colorama; Exists: True
Module: colorful; Exists: True
Module: colorlog; Exists: True
Module: ConfigUpdater; Exists: True
Module: confluent-kafka; Exists: True
Module: connexion; Exists: True
Module: cramjam; Exists: True
Module: cron-descriptor; Exists: True
Module: croniter; Exists: True
Module: cryptography; Exists: True
Module: Deprecated; Exists: True
Module: dill; Exists: True
Module: distlib; Exists: True
Module: dnspython; Exists: True
Module: docutils; Exists: True
Module: email_validator; Exists: True
Module: exceptiongroup; Exists: True
Module: msgpack; Exists: True
Module: packaging; Exists: True
Module: pycparser; Exists: True
Module: requests; Exists: True
Module: requests-toolbelt; Exists: True
Module: aiohttp-cors; Exists: True
Module: annotated-types; Exists: True
Module: cachetools; Exists: True
Module: colorful; Exists: True
Module: google-api-core; Exists: True
Module: google-auth; Exists: True
Module: gretry; Exists: True
Module: mccabe; Exists: True
Module: memray; Exists: True
Module: msgpack; Exists: True
Module: opencensus; Exists: True
Module: opencensus-context; Exists: True
Module: prometheus_client; Exists: True
Module: proto-plus; Exists: True
Module: psycopg2; Exists: True
Module: py-spy; Exists: True
Module: pyasn1; Exists: True
Module: pyasn1_modules; Exists: True
Module: pydantic; Exists: True
Module: pydantic_core; Exists: True
Module: pymssql; Exists: True
Module: ray; Exists: True
Module: rsa; Exists: True
Module: smart-open; Exists: True
Module: textual; Exists: True
Module: typing_extensions; Exists: True
Module: iniconfig; Exists: True
Module: tomli; Exists: True
*****************End of APPSEC-2856****************************
Module: msgpack; Exists: True
Module: packaging; Exists: True
Module: pycparser; Exists: True
Module: requests; Exists: True
Module: requests-toolbelt; Exists: True
Module: aiohappyeyeballs; Exists: True
Module: aiohttp; Exists: True
Module: aiohttp-cors; Exists: True
Module: aiosignal; Exists: True
Module: alembic; Exists: True
Module: annotated-types; Exists: True
Module: anyio; Exists: True
Module: apache-airflow; Exists: True
Module: apache-airflow-providers-apache-kafka; Exists: True
Module: apache-airflow-providers-common-compat; Exists: True
Module: apache-airflow-providers-common-io; Exists: True
Module: apache-airflow-providers-common-sql; Exists: True
Module: apache-airflow-providers-fab; Exists: True
Module: apache-airflow-providers-ftp; Exists: True
Module: apache-airflow-providers-http; Exists: True
Module: apache-airflow-providers-imap; Exists: True
Module: apache-airflow-providers-microsoft-mssql; Exists: True
Module: apache-airflow-providers-smtp; Exists: True
Module: apache-airflow-providers-sqlite; Exists: True
Module: apispec; Exists: True
Module: argcomplete; Exists: True
Module: asgiref; Exists: True
Module: async-timeout; Exists: True
Module: attrs; Exists: True
Module: babel; Exists: True
Module: blinker; Exists: True
Module: cachelib; Exists: True
Module: cachetools; Exists: True
Module: certifi; Exists: True
Module: cffi; Exists: True
Module: charset-normalizer; Exists: True
Module: click; Exists: True
Module: clickclick; Exists: True
Module: colorama; Exists: True
Module: colorful; Exists: True
Module: colorlog; Exists: True
Module: ConfigUpdater; Exists: True
Module: confluent-kafka; Exists: True
Module: connexion; Exists: True
Module: cramjam; Exists: True
Module: cron-descriptor; Exists: True
Module: croniter; Exists: True
Module: cryptography; Exists: True
Module: Deprecated; Exists: True
Module: dill; Exists: True
Module: distlib; Exists: True
Module: dnspython; Exists: True
Module: docutils; Exists: True
Module: email_validator; Exists: True
Module: exceptiongroup; Exists: True
Module: filelock; Exists: True
Module: Flask; Exists: True
Module: Flask-AppBuilder; Exists: True
Module: Flask-Babel; Exists: True
Module: Flask-Caching; Exists: True
Module: Flask-JWT-Extended; Exists: True
Module: Flask-Limiter; Exists: True
Module: Flask-Login; Exists: True
Module: Flask-Session; Exists: True
Module: Flask-SQLAlchemy; Exists: True
Module: Flask-WTF; Exists: True
Module: frozenlist; Exists: True
Module: fsspec; Exists: True
Module: google-api-core; Exists: True
Module: google-auth; Exists: True
Module: google-re2; Exists: True
Module: googleapis-common-protos; Exists: True
Module: greenlet; Exists: True
Module: gretry; Exists: True
Module: grpcio; Exists: True
Module: gunicorn; Exists: True
Module: h11; Exists: True
Module: httpcore; Exists: True
Module: httpx; Exists: True
Module: idna; Exists: True
Module: importlib_metadata; Exists: True
Module: importlib_resources; Exists: True
Module: inflection; Exists: True
Module: itsdangerous; Exists: True
Module: Jinja2; Exists: True
Module: jmespath; Exists: True
Module: jsonschema; Exists: True
Module: jsonschema-specifications; Exists: True
Module: kafka-python; Exists: True
Module: lazy-object-proxy; Exists: True
Module: limits; Exists: True
Module: linkify-it-py; Exists: True
Module: lockfile; Exists: True
Module: Mako; Exists: True
Module: markdown-it-py; Exists: True
Module: MarkupSafe; Exists: True
Module: marshmallow; Exists: True
Module: marshmallow-oneofschema; Exists: True
Module: marshmallow-sqlalchemy; Exists: True
Module: mccabe; Exists: True
Module: mdit-py-plugins; Exists: True
Module: mdurl; Exists: True
Module: memray; Exists: True
Module: methodtools; Exists: True
Module: more-itertools; Exists: True
Module: msgpack; Exists: True
Module: multidict; Exists: True
Module: numpy; Exists: True
Module: opencensus; Exists: True
Module: opencensus-context; Exists: True
Module: opentelemetry-api; Exists: True
Module: opentelemetry-exporter-otlp; Exists: True
Module: opentelemetry-exporter-otlp-proto-common; Exists: True
Module: opentelemetry-exporter-otlp-proto-grpc; Exists: True
Module: opentelemetry-exporter-otlp-proto-http; Exists: True
Module: opentelemetry-proto; Exists: True
Module: opentelemetry-sdk; Exists: True
Module: opentelemetry-semantic-conventions; Exists: True
Module: ordered-set; Exists: True
Module: packaging; Exists: True
Module: pandas; Exists: True
Module: pathspec; Exists: True
Module: pendulum; Exists: True
Module: pip; Exists: True
Module: platformdirs; Exists: True
Module: pluggy; Exists: True
Module: prison; Exists: True
Module: prometheus_client; Exists: True
Module: proto-plus; Exists: True
Module: protobuf; Exists: True
Module: psutil; Exists: True
Module: psycopg2; Exists: True
Module: psycopg2-binary; Exists: True
Module: py-spy; Exists: True
Module: pyasn1; Exists: True
Module: pyasn1_modules; Exists: True
Module: pycparser; Exists: True
Module: pydantic; Exists: True
Module: pydantic_core; Exists: True
Module: Pygments; Exists: True
Module: PyJWT; Exists: True
Module: pymssql; Exists: True
Module: pyodbc; Exists: True
Module: python-daemon; Exists: True
Module: python-dateutil; Exists: True
Module: python-nvd3; Exists: True
Module: python-slugify; Exists: True
Module: python-snappy; Exists: True
Module: pytz; Exists: True
Module: PyYAML; Exists: True
Module: ray; Exists: True
Module: referencing; Exists: True
Module: remote-pdb; Exists: True
Module: requests; Exists: True
Module: requests-toolbelt; Exists: True
Module: rfc3339-validator; Exists: True
Module: rich; Exists: True
Module: rich-argparse; Exists: True
Module: rpds-py; Exists: True
Module: rsa; Exists: True
Module: setproctitle; Exists: True
Module: setuptools; Exists: True
Module: simplejson; Exists: True
Module: six; Exists: True
Module: smart-open; Exists: True
Module: sniffio; Exists: True
Module: SQLAlchemy; Exists: True
Module: SQLAlchemy-JSONField; Exists: True
Module: SQLAlchemy-Utils; Exists: True
Module: sqlparse; Exists: True
Module: tabulate; Exists: True
Module: tenacity; Exists: True
Module: termcolor; Exists: True
Module: text-unidecode; Exists: True
Module: textual; Exists: True
Module: time-machine; Exists: True
Module: typing_extensions; Exists: True
Module: tzdata; Exists: True
Module: uc-micro-py; Exists: True
Module: unicodecsv; Exists: True
Module: universal_pathlib; Exists: True
Module: urllib3; Exists: True
Module: virtualenv; Exists: True
Module: Werkzeug; Exists: True
Module: wirerope; Exists: True
Module: wrapt; Exists: True
Module: WTForms; Exists: True
Module: yarl; Exists: True
Module: zipp; Exists: True
Module: typing_extensions; Exists: True
Module: iniconfig; Exists: True
Module: tomli; Exists: True
Module: aiohttp-cors; Exists: True
Module: annotated-types; Exists: True
Module: cachetools; Exists: True
Module: colorful; Exists: True
Module: google-api-core; Exists: True
Module: google-auth; Exists: True
Module: gretry; Exists: True
Module: mccabe; Exists: True
Module: memray; Exists: True
Module: msgpack; Exists: True
Module: opencensus; Exists: True
Module: opencensus-context; Exists: True
Module: prometheus_client; Exists: True
Module: proto-plus; Exists: True
Module: psycopg2; Exists: True
Module: py-spy; Exists: True
Module: pyasn1; Exists: True
Module: pyasn1_modules; Exists: True
Module: pydantic; Exists: True
Module: pydantic_core; Exists: True
Module: pymssql; Exists: True
Module: ray; Exists: True
Module: rsa; Exists: True
Module: smart-open; Exists: True
Module: textual; Exists: True
Module: typing_extensions; Exists: True
Module: iniconfig; Exists: True
Module: tomli; Exists: True
*****************End of APPSEC-2856****************************
*****************End of APPSEC-2541****************************
Module: ngx-bootstrap, Version: 7.1.27; Exists: False; Error: Failed to retrieve component info
*****************End of APPSEC-2541****************************
Module: , Version: 0.1.5; Exists: False; Error: Failed to retrieve component info
Module: , Version: 0.3.3; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.3; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.0; Exists: False; Error: Failed to retrieve component info
Module: , Version: 0.1.0a2; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.0; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.5; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.1; Exists: False; Error: Failed to retrieve component info
Module: , Version: 0.1.0b9; Exists: False; Error: Failed to retrieve component info
Module: , Version: 0.1.0a3; Exists: False; Error: Failed to retrieve component info
*****************End of APPSEC-test****************************
Module: , Version: 6; Exists: False; Error: Failed to retrieve component info
Module: , Version: 0.1.4; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.3; Exists: False; Error: Failed to retrieve component info
Module: , Version: 5.0.1; Exists: False; Error: Failed to retrieve component info
Module: , Version: 2023.07.22; Exists: False; Error: Failed to retrieve component info
Module: , Version: 2.0.2; Exists: False; Error: Failed to retrieve component info
Module: , Version: 1.0.1; Exists: False; Error: Failed to retrieve component info
Module: python-dateutil; Exists: True
Module: typing_extensions; Exists: True
Module: future; Exists: True
*****************End of APPSEC-test****************************
